"","row","column","cor","p"
"22072","AntiSov_AntiSov_1","RacismMini_RacismMini_3",0.239,0
"22073","AntiSov_AntiSov_2","RacismMini_RacismMini_3",0.307,0
"22074","AntiSov_AntiSov_3","RacismMini_RacismMini_3",0.16,0
"22075","AntiSov_AntiSov_4","RacismMini_RacismMini_3",0.233,0
"22076","AntiSov_AntiSov_5","RacismMini_RacismMini_3",-0.205,0
"22077","AntiSov_AntiSov_6","RacismMini_RacismMini_3",-0.157,0
"22079","FamousTiming_Last.Click","RacismMini_RacismMini_3",-0.042,0.022
"22080","FamousTiming_Page.Submit","RacismMini_RacismMini_3",-0.056,0.002
"22081","FamousTiming_Click.Count","RacismMini_RacismMini_3",-0.038,0.04
"22082","ContactTiming_First.Click","RacismMini_RacismMini_3",0.042,0.022
"22083","ContactTiming_Last.Click","RacismMini_RacismMini_3",0.05,0.007
"22084","ContactTiming_Page.Submit","RacismMini_RacismMini_3",0.048,0.01
"22086","CloseFriends","RacismMini_RacismMini_3",0.108,0
"22087","CloseFamily","RacismMini_RacismMini_3",0.085,0
"22088","Acquaintances","RacismMini_RacismMini_3",0.087,0
"22089","KnowbyName","RacismMini_RacismMini_3",0.099,0
"22090","MealatYourHome","RacismMini_RacismMini_3",-0.073,0
"22091","MealatTheirHome","RacismMini_RacismMini_3",-0.073,0
"22092","Vacation","RacismMini_RacismMini_3",-0.066,0
"22093","SocialEvent","RacismMini_RacismMini_3",-0.063,0.001
"22094","Leuisure","RacismMini_RacismMini_3",-0.072,0
"22095","Speaking","RacismMini_RacismMini_3",-0.076,0
"22096","Share_Share_1","RacismMini_RacismMini_3",-0.08,0
"22097","Share_Share_2","RacismMini_RacismMini_3",-0.078,0
"22098","Share_Share_3","RacismMini_RacismMini_3",-0.075,0
"22103","Extended_people","RacismMini_RacismMini_3",0.061,0.001
"22104","Extended_friends","RacismMini_RacismMini_3",0.069,0
"22105","Extended_family","RacismMini_RacismMini_3",0.084,0
"22120","FanSportTeam","RacismMini_RacismMini_3",0.094,0
"22123","CowboyandIndianPlay","RacismMini_RacismMini_3",0.092,0
"22128","Invisibility_Invisibility_1","RacismMini_RacismMini_3",0.138,0
"22129","Invisibility_Invisibility_2","RacismMini_RacismMini_3",-0.058,0.002
"22130","Invisibility_Invisibility_3","RacismMini_RacismMini_3",-0.055,0.003
"22134","Invisibility_Invisibility_7","RacismMini_RacismMini_3",0.047,0.011
"22140","MCP_MCP_1","RacismMini_RacismMini_3",0.142,0
"22141","MCP_MCP_2","RacismMini_RacismMini_3",0.165,0
"22143","MCP_MCP_4","RacismMini_RacismMini_3",0.173,0
"22144","MCP_MCP_5","RacismMini_RacismMini_3",0.179,0
"22145","MCP_MCP_6","RacismMini_RacismMini_3",-0.116,0
"22146","MCP_MCP_7","RacismMini_RacismMini_3",0.26,0
"22147","MCP_MCP_8","RacismMini_RacismMini_3",-0.165,0
"22148","MCP_MCP_9","RacismMini_RacismMini_3",-0.199,0
"22149","MCP_MCP_10","RacismMini_RacismMini_3",-0.155,0
"22154","RacismMini_RacismMini_1","RacismMini_RacismMini_3",0.779,0
"22155","RacismMini_RacismMini_2","RacismMini_RacismMini_3",-0.533,0
"22160","Nationalism_Nationalism_1","RacismMini_RacismMini_4",-0.268,0
"22161","Nationalism_Nationalism_2","RacismMini_RacismMini_4",-0.136,0
"22162","Nationalism_Nationalism_3","RacismMini_RacismMini_4",-0.28,0
"22163","Nationalism_Nationalism_4","RacismMini_RacismMini_4",-0.258,0
"22164","Nationalism_Nationalism_5","RacismMini_RacismMini_4",-0.209,0
"22165","Nationalism_Nationalism_6","RacismMini_RacismMini_4",-0.173,0
"22166","Nationalism_Nationalism_7","RacismMini_RacismMini_4",-0.27,0
"22167","Nationalism_Nationalism_8","RacismMini_RacismMini_4",-0.243,0
"22168","Nationalism_Nationalism_9","RacismMini_RacismMini_4",-0.301,0
"22169","Nationalism_Nationalism_10","RacismMini_RacismMini_4",-0.3,0
"22170","Nationalism_Nationalism_11","RacismMini_RacismMini_4",-0.283,0
"22171","Nationalism_Nationalism_12","RacismMini_RacismMini_4",-0.323,0
"22172","Nationalism_Nationalism_13","RacismMini_RacismMini_4",-0.261,0
"22173","Nationalism_Nationalism_14","RacismMini_RacismMini_4",-0.273,0
"22174","Nationalism_Nationalism_15","RacismMini_RacismMini_4",-0.21,0
"22175","Nationalism_Nationalism_16","RacismMini_RacismMini_4",-0.222,0
"22180","EconMob_EconMob_1","RacismMini_RacismMini_4",-0.39,0
"22181","EconMob_EconMob_2","RacismMini_RacismMini_4",-0.49,0
"22182","EconMob_EconMob_3","RacismMini_RacismMini_4",0.417,0
"22183","EconMob_EconMob_4","RacismMini_RacismMini_4",0.421,0
"22184","EconMob_EconMob_5","RacismMini_RacismMini_4",-0.442,0
"22185","EconMob_EconMob_6","RacismMini_RacismMini_4",-0.44,0
"22186","EconMob_EconMob_7","RacismMini_RacismMini_4",0.47,0
"22187","EconMob_EconMob_8","RacismMini_RacismMini_4",0.494,0
"22188","EconMob_EconMob_9","RacismMini_RacismMini_4",-0.343,0
"22189","EconMob_EconMob_10","RacismMini_RacismMini_4",-0.441,0
"22190","EconMob_EconMob_11","RacismMini_RacismMini_4",0.53,0
"22191","EconMob_EconMob_12","RacismMini_RacismMini_4",0.489,0
"22193","MascTiming_Last.Click","RacismMini_RacismMini_4",-0.043,0.02
"22194","MascTiming_Page.Submit","RacismMini_RacismMini_4",-0.042,0.025
"22196","Masc_Masc_1","RacismMini_RacismMini_4",-0.185,0
"22197","Masc_Masc_2","RacismMini_RacismMini_4",-0.162,0
"22198","Masc_Masc_3","RacismMini_RacismMini_4",-0.076,0
"22199","Masc_Masc_4","RacismMini_RacismMini_4",-0.104,0
"22200","Masc_Masc_5","RacismMini_RacismMini_4",-0.185,0
"22201","Masc_Masc_6","RacismMini_RacismMini_4",-0.162,0
"22202","Masc_Masc_7","RacismMini_RacismMini_4",-0.076,0
"22203","Masc_Masc_8","RacismMini_RacismMini_4",-0.104,0
"22208","Colorblind_Colorblind_1","RacismMini_RacismMini_4",-0.059,0.001
"22209","Colorblind_Colorblind_2","RacismMini_RacismMini_4",-0.098,0
"22210","Colorblind_Colorblind_3","RacismMini_RacismMini_4",-0.065,0
"22211","Colorblind_Colorblind_4","RacismMini_RacismMini_4",-0.13,0
"22212","Colorblind_Colorblind_5","RacismMini_RacismMini_4",-0.099,0
"22213","CB_Laurel_CB_Laurel_1","RacismMini_RacismMini_4",-0.074,0
"22214","CB_Laurel_CB_Laurel_2","RacismMini_RacismMini_4",0.207,0
"22215","CB_Laurel_CB_Laurel_3","RacismMini_RacismMini_4",-0.11,0
"22216","CB_Laurel_CB_Laurel_4","RacismMini_RacismMini_4",-0.053,0.004
"22217","CB_Laurel_CB_Laurel_5","RacismMini_RacismMini_4",0.332,0
"22219","CB_Laurel_CB_Laurel_7","RacismMini_RacismMini_4",-0.038,0.039
"22221","CB_Laurel_CB_Laurel_9","RacismMini_RacismMini_4",-0.2,0
"22222","CB_Laurel_CB_Laurel_10","RacismMini_RacismMini_4",0.049,0.008
"22223","CB_Laurel_CB_Laurel_11","RacismMini_RacismMini_4",0.134,0
"22228","Therms_1","RacismMini_RacismMini_4",0.098,0
"22229","Therms_2","RacismMini_RacismMini_4",-0.161,0
"22230","Therms_3","RacismMini_RacismMini_4",0.132,0
"22231","Therms_4","RacismMini_RacismMini_4",0.038,0.043
"22232","Therms_5","RacismMini_RacismMini_4",0.094,0
"22233","DVTiming_First.Click","RacismMini_RacismMini_4",-0.044,0.017
"22237","DV1_1","RacismMini_RacismMini_4",0.397,0
"22238","DV1_2","RacismMini_RacismMini_4",0.451,0
"22239","DV1_3","RacismMini_RacismMini_4",0.405,0
"22240","DV1_4","RacismMini_RacismMini_4",0.426,0
"22241","DV1_5","RacismMini_RacismMini_4",0.437,0
"22242","DV1_6","RacismMini_RacismMini_4",0.362,0
"22243","DV1_7","RacismMini_RacismMini_4",0.364,0
"22244","DV1_8","RacismMini_RacismMini_4",0.344,0
"22245","DV1_9","RacismMini_RacismMini_4",0.351,0
"22246","DV1_10","RacismMini_RacismMini_4",0.383,0
"22247","DV1_11","RacismMini_RacismMini_4",0.373,0
"22252","DV2_Q38_1","RacismMini_RacismMini_4",-0.22,0
"22253","DV2_Q38_2","RacismMini_RacismMini_4",-0.246,0
"22254","DV2_Q38_3","RacismMini_RacismMini_4",-0.25,0
"22255","DV2_Q38_4","RacismMini_RacismMini_4",-0.242,0
"22256","DV2_Q38_5","RacismMini_RacismMini_4",0.377,0
"22257","DV2_Q38_6","RacismMini_RacismMini_4",0.421,0
"22258","DV2_Q38_7","RacismMini_RacismMini_4",0.328,0
"22259","DV2_Q38_8","RacismMini_RacismMini_4",0.361,0
"22260","DV2_Q38_10","RacismMini_RacismMini_4",0.345,0
"22261","DV2_Q38_11","RacismMini_RacismMini_4",0.374,0
"22262","DV2_Q38_12","RacismMini_RacismMini_4",0.487,0
"22263","DV2_DV2_9","RacismMini_RacismMini_4",0.479,0
"22264","DV2_DV2_13","RacismMini_RacismMini_4",0.458,0
"22265","DV2_DV2_14","RacismMini_RacismMini_4",0.44,0
"22266","DV3Timing_First.Click","RacismMini_RacismMini_4",-0.037,0.043
"22267","DV3Timing_Last.Click","RacismMini_RacismMini_4",-0.05,0.007
"22268","DV3Timing_Page.Submit","RacismMini_RacismMini_4",-0.05,0.007
"22270","DV3_Q39_1","RacismMini_RacismMini_4",0.503,0
"22271","DV3_Q39_2","RacismMini_RacismMini_4",0.434,0
"22272","DV3_Q39_4","RacismMini_RacismMini_4",-0.233,0
"22273","DV3_Q39_5","RacismMini_RacismMini_4",0.295,0
"22274","DV3_Q39_6","RacismMini_RacismMini_4",0.321,0
"22275","DV3_Q39_7","RacismMini_RacismMini_4",0.323,0
"22276","DV3_Q39_8","RacismMini_RacismMini_4",0.341,0
"22277","DV3_Q39_9","RacismMini_RacismMini_4",0.333,0
"22282","AntiSov_AntiSov_1","RacismMini_RacismMini_4",-0.179,0
"22283","AntiSov_AntiSov_2","RacismMini_RacismMini_4",-0.264,0
"22284","AntiSov_AntiSov_3","RacismMini_RacismMini_4",-0.116,0
"22285","AntiSov_AntiSov_4","RacismMini_RacismMini_4",-0.189,0
"22286","AntiSov_AntiSov_5","RacismMini_RacismMini_4",0.268,0
"22287","AntiSov_AntiSov_6","RacismMini_RacismMini_4",0.216,0
"22291","FamousTiming_Click.Count","RacismMini_RacismMini_4",0.055,0.003
"22293","ContactTiming_Last.Click","RacismMini_RacismMini_4",-0.037,0.047
"22296","CloseFriends","RacismMini_RacismMini_4",-0.047,0.012
"22298","Acquaintances","RacismMini_RacismMini_4",-0.067,0
"22299","KnowbyName","RacismMini_RacismMini_4",-0.055,0.003
"22300","MealatYourHome","RacismMini_RacismMini_4",0.038,0.038
"22304","Leuisure","RacismMini_RacismMini_4",0.04,0.029
"22306","Share_Share_1","RacismMini_RacismMini_4",0.055,0.003
"22307","Share_Share_2","RacismMini_RacismMini_4",0.054,0.004
"22308","Share_Share_3","RacismMini_RacismMini_4",0.052,0.005
"22315","Extended_family","RacismMini_RacismMini_4",-0.049,0.01
"22324","OtherContactTiming_First.Click","RacismMini_RacismMini_4",-0.039,0.033
"22330","FanSportTeam","RacismMini_RacismMini_4",-0.088,0
"22331","Spiritualpractice","RacismMini_RacismMini_4",0.062,0.001
"22333","CowboyandIndianPlay","RacismMini_RacismMini_4",-0.097,0
"22334","InvisTiming_First.Click","RacismMini_RacismMini_4",-0.037,0.044
"22338","Invisibility_Invisibility_1","RacismMini_RacismMini_4",-0.053,0.004
"22339","Invisibility_Invisibility_2","RacismMini_RacismMini_4",0.16,0
"22340","Invisibility_Invisibility_3","RacismMini_RacismMini_4",0.152,0
"22341","Invisibility_Invisibility_4","RacismMini_RacismMini_4",0.064,0.001
"22342","Invisibility_Invisibility_5","RacismMini_RacismMini_4",0.069,0
"22343","Invisibility_Invisibility_6","RacismMini_RacismMini_4",0.105,0
"22344","Invisibility_Invisibility_7","RacismMini_RacismMini_4",0.072,0
"22345","Invisibility_Invisibility_8","RacismMini_RacismMini_4",0.1,0
"22350","MCP_MCP_1","RacismMini_RacismMini_4",-0.041,0.026
"22351","MCP_MCP_2","RacismMini_RacismMini_4",-0.07,0
"22352","MCP_MCP_3","RacismMini_RacismMini_4",0.074,0
"22353","MCP_MCP_4","RacismMini_RacismMini_4",-0.052,0.005
"22354","MCP_MCP_5","RacismMini_RacismMini_4",-0.062,0.001
"22355","MCP_MCP_6","RacismMini_RacismMini_4",0.168,0
"22356","MCP_MCP_7","RacismMini_RacismMini_4",-0.212,0
"22357","MCP_MCP_8","RacismMini_RacismMini_4",0.228,0
"22358","MCP_MCP_9","RacismMini_RacismMini_4",0.275,0
"22359","MCP_MCP_10","RacismMini_RacismMini_4",0.225,0
"22364","RacismMini_RacismMini_1","RacismMini_RacismMini_4",-0.586,0
"22365","RacismMini_RacismMini_2","RacismMini_RacismMini_4",0.673,0
"22366","RacismMini_RacismMini_3","RacismMini_RacismMini_4",-0.708,0
"22368","NationalismTiming_Last.Click","RacismMini_RacismMini_5",0.042,0.023
"22369","NationalismTiming_Page.Submit","RacismMini_RacismMini_5",0.039,0.036
"22371","Nationalism_Nationalism_1","RacismMini_RacismMini_5",-0.242,0
"22372","Nationalism_Nationalism_2","RacismMini_RacismMini_5",-0.112,0
"22373","Nationalism_Nationalism_3","RacismMini_RacismMini_5",-0.251,0
"22374","Nationalism_Nationalism_4","RacismMini_RacismMini_5",-0.231,0
"22375","Nationalism_Nationalism_5","RacismMini_RacismMini_5",-0.188,0
"22376","Nationalism_Nationalism_6","RacismMini_RacismMini_5",-0.148,0
"22377","Nationalism_Nationalism_7","RacismMini_RacismMini_5",-0.229,0
"22378","Nationalism_Nationalism_8","RacismMini_RacismMini_5",-0.2,0
"22379","Nationalism_Nationalism_9","RacismMini_RacismMini_5",-0.289,0
"22380","Nationalism_Nationalism_10","RacismMini_RacismMini_5",-0.273,0
"22381","Nationalism_Nationalism_11","RacismMini_RacismMini_5",-0.306,0
"22382","Nationalism_Nationalism_12","RacismMini_RacismMini_5",-0.305,0
"22383","Nationalism_Nationalism_13","RacismMini_RacismMini_5",-0.211,0
"22384","Nationalism_Nationalism_14","RacismMini_RacismMini_5",-0.269,0
"22385","Nationalism_Nationalism_15","RacismMini_RacismMini_5",-0.226,0
"22386","Nationalism_Nationalism_16","RacismMini_RacismMini_5",-0.195,0
"22391","EconMob_EconMob_1","RacismMini_RacismMini_5",-0.348,0
"22392","EconMob_EconMob_2","RacismMini_RacismMini_5",-0.471,0
"22393","EconMob_EconMob_3","RacismMini_RacismMini_5",0.436,0
"22394","EconMob_EconMob_4","RacismMini_RacismMini_5",0.415,0
"22395","EconMob_EconMob_5","RacismMini_RacismMini_5",-0.39,0
"22396","EconMob_EconMob_6","RacismMini_RacismMini_5",-0.393,0
"22397","EconMob_EconMob_7","RacismMini_RacismMini_5",0.492,0
"22398","EconMob_EconMob_8","RacismMini_RacismMini_5",0.487,0
"22399","EconMob_EconMob_9","RacismMini_RacismMini_5",-0.32,0
"22400","EconMob_EconMob_10","RacismMini_RacismMini_5",-0.464,0
"22401","EconMob_EconMob_11","RacismMini_RacismMini_5",0.54,0
"22402","EconMob_EconMob_12","RacismMini_RacismMini_5",0.516,0
"22407","Masc_Masc_1","RacismMini_RacismMini_5",-0.191,0
"22408","Masc_Masc_2","RacismMini_RacismMini_5",-0.193,0
"22409","Masc_Masc_3","RacismMini_RacismMini_5",-0.091,0
"22410","Masc_Masc_4","RacismMini_RacismMini_5",-0.12,0
"22411","Masc_Masc_5","RacismMini_RacismMini_5",-0.191,0
"22412","Masc_Masc_6","RacismMini_RacismMini_5",-0.193,0
"22413","Masc_Masc_7","RacismMini_RacismMini_5",-0.091,0
"22414","Masc_Masc_8","RacismMini_RacismMini_5",-0.12,0
"22416","ColorblindTiming_Last.Click","RacismMini_RacismMini_5",0.047,0.011
"22417","ColorblindTiming_Page.Submit","RacismMini_RacismMini_5",0.048,0.01
"22419","Colorblind_Colorblind_1","RacismMini_RacismMini_5",-0.07,0
"22420","Colorblind_Colorblind_2","RacismMini_RacismMini_5",-0.1,0
"22421","Colorblind_Colorblind_3","RacismMini_RacismMini_5",-0.056,0.002
"22422","Colorblind_Colorblind_4","RacismMini_RacismMini_5",-0.154,0
"22423","Colorblind_Colorblind_5","RacismMini_RacismMini_5",-0.09,0
"22425","CB_Laurel_CB_Laurel_2","RacismMini_RacismMini_5",0.199,0
"22426","CB_Laurel_CB_Laurel_3","RacismMini_RacismMini_5",-0.093,0
"22428","CB_Laurel_CB_Laurel_5","RacismMini_RacismMini_5",0.356,0
"22432","CB_Laurel_CB_Laurel_9","RacismMini_RacismMini_5",-0.189,0
"22433","CB_Laurel_CB_Laurel_10","RacismMini_RacismMini_5",0.081,0
"22434","CB_Laurel_CB_Laurel_11","RacismMini_RacismMini_5",0.177,0
"22439","Therms_1","RacismMini_RacismMini_5",0.132,0
"22440","Therms_2","RacismMini_RacismMini_5",-0.125,0
"22441","Therms_3","RacismMini_RacismMini_5",0.174,0
"22442","Therms_4","RacismMini_RacismMini_5",0.075,0
"22443","Therms_5","RacismMini_RacismMini_5",0.13,0
"22448","DV1_1","RacismMini_RacismMini_5",0.395,0
"22449","DV1_2","RacismMini_RacismMini_5",0.44,0
"22450","DV1_3","RacismMini_RacismMini_5",0.397,0
"22451","DV1_4","RacismMini_RacismMini_5",0.431,0
"22452","DV1_5","RacismMini_RacismMini_5",0.439,0
"22453","DV1_6","RacismMini_RacismMini_5",0.381,0
"22454","DV1_7","RacismMini_RacismMini_5",0.383,0
"22455","DV1_8","RacismMini_RacismMini_5",0.361,0
"22456","DV1_9","RacismMini_RacismMini_5",0.385,0
"22457","DV1_10","RacismMini_RacismMini_5",0.385,0
"22458","DV1_11","RacismMini_RacismMini_5",0.371,0
"22463","DV2_Q38_1","RacismMini_RacismMini_5",-0.264,0
"22464","DV2_Q38_2","RacismMini_RacismMini_5",-0.273,0
"22465","DV2_Q38_3","RacismMini_RacismMini_5",-0.272,0
"22466","DV2_Q38_4","RacismMini_RacismMini_5",-0.264,0
"22467","DV2_Q38_5","RacismMini_RacismMini_5",0.407,0
"22468","DV2_Q38_6","RacismMini_RacismMini_5",0.458,0
"22469","DV2_Q38_7","RacismMini_RacismMini_5",0.378,0
"22470","DV2_Q38_8","RacismMini_RacismMini_5",0.389,0
"22471","DV2_Q38_10","RacismMini_RacismMini_5",0.388,0
"22472","DV2_Q38_11","RacismMini_RacismMini_5",0.402,0
"22473","DV2_Q38_12","RacismMini_RacismMini_5",0.503,0
"22474","DV2_DV2_9","RacismMini_RacismMini_5",0.5,0
"22475","DV2_DV2_13","RacismMini_RacismMini_5",0.48,0
"22476","DV2_DV2_14","RacismMini_RacismMini_5",0.476,0
"22481","DV3_Q39_1","RacismMini_RacismMini_5",0.536,0
"22482","DV3_Q39_2","RacismMini_RacismMini_5",0.463,0
"22483","DV3_Q39_4","RacismMini_RacismMini_5",-0.245,0
"22484","DV3_Q39_5","RacismMini_RacismMini_5",0.29,0
"22485","DV3_Q39_6","RacismMini_RacismMini_5",0.316,0
"22486","DV3_Q39_7","RacismMini_RacismMini_5",0.313,0
"22487","DV3_Q39_8","RacismMini_RacismMini_5",0.328,0
"22488","DV3_Q39_9","RacismMini_RacismMini_5",0.332,0
"22493","AntiSov_AntiSov_1","RacismMini_RacismMini_5",-0.2,0
"22494","AntiSov_AntiSov_2","RacismMini_RacismMini_5",-0.275,0
"22495","AntiSov_AntiSov_3","RacismMini_RacismMini_5",-0.164,0
"22496","AntiSov_AntiSov_4","RacismMini_RacismMini_5",-0.195,0
"22497","AntiSov_AntiSov_5","RacismMini_RacismMini_5",0.242,0
"22498","AntiSov_AntiSov_6","RacismMini_RacismMini_5",0.249,0
"22507","CloseFriends","RacismMini_RacismMini_5",-0.075,0
"22508","CloseFamily","RacismMini_RacismMini_5",-0.06,0.001
"22509","Acquaintances","RacismMini_RacismMini_5",-0.052,0.005
"22510","KnowbyName","RacismMini_RacismMini_5",-0.055,0.003
"22517","Share_Share_1","RacismMini_RacismMini_5",0.049,0.008
"22518","Share_Share_2","RacismMini_RacismMini_5",0.044,0.019
"22519","Share_Share_3","RacismMini_RacismMini_5",0.048,0.009
"22526","Extended_family","RacismMini_RacismMini_5",-0.045,0.018
"22535","OtherContactTiming_First.Click","RacismMini_RacismMini_5",-0.037,0.048
"22540","CommunitySportTeam","RacismMini_RacismMini_5",-0.037,0.045
"22541","FanSportTeam","RacismMini_RacismMini_5",-0.081,0
"22544","CowboyandIndianPlay","RacismMini_RacismMini_5",-0.108,0
"22549","Invisibility_Invisibility_1","RacismMini_RacismMini_5",-0.081,0
"22550","Invisibility_Invisibility_2","RacismMini_RacismMini_5",0.114,0
"22551","Invisibility_Invisibility_3","RacismMini_RacismMini_5",0.106,0
"22552","Invisibility_Invisibility_4","RacismMini_RacismMini_5",0.064,0.001
"22553","Invisibility_Invisibility_5","RacismMini_RacismMini_5",0.049,0.008
"22554","Invisibility_Invisibility_6","RacismMini_RacismMini_5",0.076,0
"22556","Invisibility_Invisibility_8","RacismMini_RacismMini_5",0.068,0
"22562","MCP_MCP_2","RacismMini_RacismMini_5",-0.071,0
"22563","MCP_MCP_3","RacismMini_RacismMini_5",0.084,0
"22564","MCP_MCP_4","RacismMini_RacismMini_5",-0.051,0.006
"22565","MCP_MCP_5","RacismMini_RacismMini_5",-0.062,0.001
"22566","MCP_MCP_6","RacismMini_RacismMini_5",0.218,0
"22567","MCP_MCP_7","RacismMini_RacismMini_5",-0.25,0
"22568","MCP_MCP_8","RacismMini_RacismMini_5",0.261,0
"22569","MCP_MCP_9","RacismMini_RacismMini_5",0.336,0
"22570","MCP_MCP_10","RacismMini_RacismMini_5",0.254,0
"22575","RacismMini_RacismMini_1","RacismMini_RacismMini_5",-0.498,0
"22576","RacismMini_RacismMini_2","RacismMini_RacismMini_5",0.617,0
"22577","RacismMini_RacismMini_3","RacismMini_RacismMini_5",-0.605,0
"22578","RacismMini_RacismMini_4","RacismMini_RacismMini_5",0.733,0
"22580","NationalismTiming_Last.Click","RacismMini_RacismMini_6",0.045,0.016
"22581","NationalismTiming_Page.Submit","RacismMini_RacismMini_6",0.042,0.024
"22583","Nationalism_Nationalism_1","RacismMini_RacismMini_6",-0.217,0
"22584","Nationalism_Nationalism_2","RacismMini_RacismMini_6",-0.102,0
"22585","Nationalism_Nationalism_3","RacismMini_RacismMini_6",-0.238,0
"22586","Nationalism_Nationalism_4","RacismMini_RacismMini_6",-0.203,0
"22587","Nationalism_Nationalism_5","RacismMini_RacismMini_6",-0.192,0
"22588","Nationalism_Nationalism_6","RacismMini_RacismMini_6",-0.127,0
"22589","Nationalism_Nationalism_7","RacismMini_RacismMini_6",-0.212,0
"22590","Nationalism_Nationalism_8","RacismMini_RacismMini_6",-0.174,0
"22591","Nationalism_Nationalism_9","RacismMini_RacismMini_6",-0.27,0
"22592","Nationalism_Nationalism_10","RacismMini_RacismMini_6",-0.274,0
"22593","Nationalism_Nationalism_11","RacismMini_RacismMini_6",-0.288,0
"22594","Nationalism_Nationalism_12","RacismMini_RacismMini_6",-0.265,0
"22595","Nationalism_Nationalism_13","RacismMini_RacismMini_6",-0.192,0
"22596","Nationalism_Nationalism_14","RacismMini_RacismMini_6",-0.264,0
"22597","Nationalism_Nationalism_15","RacismMini_RacismMini_6",-0.239,0
"22598","Nationalism_Nationalism_16","RacismMini_RacismMini_6",-0.202,0
"22600","EconMobTiming_Last.Click","RacismMini_RacismMini_6",0.043,0.02
"22601","EconMobTiming_Page.Submit","RacismMini_RacismMini_6",0.042,0.024
"22603","EconMob_EconMob_1","RacismMini_RacismMini_6",-0.319,0
"22604","EconMob_EconMob_2","RacismMini_RacismMini_6",-0.397,0
"22605","EconMob_EconMob_3","RacismMini_RacismMini_6",0.375,0
"22606","EconMob_EconMob_4","RacismMini_RacismMini_6",0.373,0
"22607","EconMob_EconMob_5","RacismMini_RacismMini_6",-0.331,0
"22608","EconMob_EconMob_6","RacismMini_RacismMini_6",-0.35,0
"22609","EconMob_EconMob_7","RacismMini_RacismMini_6",0.433,0
"22610","EconMob_EconMob_8","RacismMini_RacismMini_6",0.439,0
"22611","EconMob_EconMob_9","RacismMini_RacismMini_6",-0.303,0
"22612","EconMob_EconMob_10","RacismMini_RacismMini_6",-0.426,0
"22613","EconMob_EconMob_11","RacismMini_RacismMini_6",0.506,0
"22614","EconMob_EconMob_12","RacismMini_RacismMini_6",0.455,0
"22619","Masc_Masc_1","RacismMini_RacismMini_6",-0.172,0
"22620","Masc_Masc_2","RacismMini_RacismMini_6",-0.178,0
"22621","Masc_Masc_3","RacismMini_RacismMini_6",-0.072,0
"22622","Masc_Masc_4","RacismMini_RacismMini_6",-0.107,0
"22623","Masc_Masc_5","RacismMini_RacismMini_6",-0.172,0
"22624","Masc_Masc_6","RacismMini_RacismMini_6",-0.178,0
"22625","Masc_Masc_7","RacismMini_RacismMini_6",-0.072,0
"22626","Masc_Masc_8","RacismMini_RacismMini_6",-0.107,0
"22628","ColorblindTiming_Last.Click","RacismMini_RacismMini_6",0.056,0.003
"22629","ColorblindTiming_Page.Submit","RacismMini_RacismMini_6",0.056,0.002
"22630","ColorblindTiming_Click.Count","RacismMini_RacismMini_6",0.04,0.03
"22631","Colorblind_Colorblind_1","RacismMini_RacismMini_6",-0.053,0.004
"22632","Colorblind_Colorblind_2","RacismMini_RacismMini_6",-0.086,0
"22633","Colorblind_Colorblind_3","RacismMini_RacismMini_6",-0.036,0.049
"22634","Colorblind_Colorblind_4","RacismMini_RacismMini_6",-0.136,0
"22635","Colorblind_Colorblind_5","RacismMini_RacismMini_6",-0.067,0
"22637","CB_Laurel_CB_Laurel_2","RacismMini_RacismMini_6",0.181,0
"22639","CB_Laurel_CB_Laurel_4","RacismMini_RacismMini_6",0.042,0.024
"22640","CB_Laurel_CB_Laurel_5","RacismMini_RacismMini_6",0.328,0
"22641","CB_Laurel_CB_Laurel_6","RacismMini_RacismMini_6",0.047,0.012
"22642","CB_Laurel_CB_Laurel_7","RacismMini_RacismMini_6",-0.049,0.009
"22643","CB_Laurel_CB_Laurel_8","RacismMini_RacismMini_6",-0.041,0.025
"22644","CB_Laurel_CB_Laurel_9","RacismMini_RacismMini_6",-0.165,0
"22645","CB_Laurel_CB_Laurel_10","RacismMini_RacismMini_6",0.099,0
"22646","CB_Laurel_CB_Laurel_11","RacismMini_RacismMini_6",0.181,0
"22651","Therms_1","RacismMini_RacismMini_6",0.155,0
"22652","Therms_2","RacismMini_RacismMini_6",-0.122,0
"22653","Therms_3","RacismMini_RacismMini_6",0.191,0
"22654","Therms_4","RacismMini_RacismMini_6",0.089,0
"22655","Therms_5","RacismMini_RacismMini_6",0.143,0
"22656","DVTiming_First.Click","RacismMini_RacismMini_6",-0.04,0.03
"22660","DV1_1","RacismMini_RacismMini_6",0.375,0
"22661","DV1_2","RacismMini_RacismMini_6",0.424,0
"22662","DV1_3","RacismMini_RacismMini_6",0.376,0
"22663","DV1_4","RacismMini_RacismMini_6",0.442,0
"22664","DV1_5","RacismMini_RacismMini_6",0.444,0
"22665","DV1_6","RacismMini_RacismMini_6",0.43,0
"22666","DV1_7","RacismMini_RacismMini_6",0.421,0
"22667","DV1_8","RacismMini_RacismMini_6",0.418,0
"22668","DV1_9","RacismMini_RacismMini_6",0.427,0
"22669","DV1_10","RacismMini_RacismMini_6",0.375,0
"22670","DV1_11","RacismMini_RacismMini_6",0.326,0
"22675","DV2_Q38_1","RacismMini_RacismMini_6",-0.284,0
"22676","DV2_Q38_2","RacismMini_RacismMini_6",-0.283,0
"22677","DV2_Q38_3","RacismMini_RacismMini_6",-0.28,0
